Id,GameId,Score,Winner,Player,Assist,Penalty,Minute,FirstName,LastName,AssistFirstName,AssistLastName
39,16148,1-0,False,0,0,False,27,Sakari,Mattila,,
40,16148,2-1,True,0,0,False,96,Sakari,Mattila,Mostagh,Yaghoubi
50,9056,0-1,True,0,0,False,12,,Tiquinho,Luis,Henrique
51,9056,0-2,False,0,0,False,54,Adama,Fofana,,
52,9056,0-3,False,0,0,False,58,Jabar,Sharza,,
4056,9057,0-1,False,0,0,False,10,Sakari,Mattila,Adama,Fofana
4057,9057,2-2,False,0,0,True,52,Luis,Henrique,,
6054,9058,0-1,True,0,0,False,55,,Vitinho,,Tiquinho
6055,9058,0-2,False,0,0,False,93,,Tiquinho,,
12054,12053,1-0,True,0,0,False,56,Jabar,Sharza,Joel,Mattsson
12055,12053,2-0,False,0,0,False,90,Jani,Bäckman,,
21083,11053,1-1,False,0,0,False,35,Luis,Henrique,Mostagh,Yaghoubi
21084,11053,2-2,False,0,0,False,74,Luis,Henrique,Adama,Fofana
21135,11054,0-1,True,0,0,False,12,Sakari,Tukiainen,,
21137,9062,1-0,False,0,0,False,13,Sakari,Tukiainen,Adama,Fofana
21138,9062,2-0,False,0,0,False,18,Joel,Mattsson,,
21139,9062,3-1,False,0,0,True,29,Mostagh,Yaghoubi,,
21140,9062,4-3,True,0,0,False,89,Eero-Matti,Auvinen,Mostagh,Yaghoubi
21141,9064,1-0,False,0,0,False,10,,Vitinho,Sakari,Tukiainen
21142,9064,2-0,False,0,0,False,39,John,Fagerström,Riku,Selander
21143,9066,2-1,False,0,0,False,53,Sakari,Mattila,,
21144,9066,3-2,False,0,0,False,93,,Vitinho,Joel,Mattsson
21145,9067,1-0,False,0,0,False,37,Sakari,Tukiainen,,Vitinho
22145,21156,3-1,False,0,0,False,90,Hannu,Patronen,Adama,Fofana
22146,21156,3-2,False,0,0,True,94,,Vitinho,,
23145,11055,1-0,False,0,0,False,53,Sakari,Tukiainen,Adama,Fofana
24145,22157,1-0,True,0,0,False,48,Foday,Manneh,Jukka,Halme
24146,24157,1-1,False,0,0,False,80,Jani,Bäckman,Mostagh,Yaghoubi
