Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,Referee,Attendance
24157,FC Lahti,4.11.2020 18.30.00,Veikkausliiga,2-1,2,Lahden kisapuisto,False,Ville Nevalainen,0
22157,RoPS,22.10.2020 18.00.00,Veikkausliiga,1-0,1,Bolt Arena,True,Toni Pohjoismäki,841
11056,HJK,18.10.2020 16.00.00,Veikkausliiga,3-0,2,Bolt Arena,False,Antti Munukka,2840
11055,Ilves,15.10.2020 18.30.00,Veikkausliiga,1-2,2,Bolt Arena,True,Juuso Mikkola,1247
21156,KuPS,8.10.2020 18.30.00,Veikkausliiga,3-2,2,Savon Sanomat Areena,False,Ville Nevalainen,1578
9067,FC Honka,2.10.2020 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Ville Nevalainen,1517
9066,SJK,28.9.2020 18.30.00,Veikkausliiga,3-2,2,OmaSp Stadion,False,Petri Viljanen,2287
9064,IFK Mariehamn,19.9.2020 17.00.00,Veikkausliiga,2-2,0,Bolt Arena,True,Oliver Reitala,1425
9063,FC Inter,14.9.2020 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Antti Munukka,1502
9062,HJK,10.9.2020 18.30.00,Veikkausliiga,4-3,1,Bolt Arena,True,Mattias Gestranius,2900
11054,FC Honka,1.9.2020 18.30.00,Veikkausliiga,0-1,1,Tapiolan urheilupuisto,False,Oskari Hämäläinen,1446
9059,TPS,26.8.2020 18.30.00,Veikkausliiga,1-0,2,Veritas Stadion,False,Dennis Antamo,3027
12054,Haka,23.8.2020 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Toni Pohjoismäki,1672
11053,FC Inter,14.8.2020 18.30.00,Veikkausliiga,3-2,2,Veritas Stadion,False,Petri Viljanen,1662
12053,TPS,10.8.2020 18.30.00,Veikkausliiga,2-0,1,Bolt Arena,True,Mohammad Al-Emara,1762
9058,Haka,5.8.2020 18.30.00,Veikkausliiga,0-2,1,Tehtaan kenttä,False,Dennis Antamo,1575
9057,Ilves,1.8.2020 17.00.00,Veikkausliiga,2-2,0,Tammelan Stadion,False,Jari Järvinen,2384
9056,IFK Mariehamn,26.7.2020 18.30.00,Veikkausliiga,0-3,1,Wiklöf Holding Arena,False,Petri Viljanen,1000
16148,SJK,22.7.2020 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Oskari Hämäläinen,1721
16147,FC Lahti,18.7.2020 17.00.00,Veikkausliiga,0-3,2,Bolt Arena,True,Mattias Gestranius,1837
16145,RoPS,8.7.2020 18.30.00,Veikkausliiga,0-1,1,Rovaniemen keskuskenttä,False,Mohammad Al-Emara,1397
16144,KuPS,1.7.2020 18.30.00,Veikkausliiga,0-3,2,Bolt Arena,True,Antti Munukka,1854
